chan_name,x,y,z,dist
1-60,-95.3134,80.7705,0.0045,124.93405416382677
1-61,-95.3134,80.7705,0.0045,124.93405416382677
1-62,-98.1912,81.5979,0.0047,127.67039218961457
1-63,-98.1912,81.5979,0.0047,127.67039218961457
1-64,-98.3185,89.0874,0.0057,132.67664557490895
1-65,-98.3185,89.0874,0.0057,132.67664557490895
1-66,-97.1172,94.0195,0.0056,135.171805181739
1-67,-97.1172,94.0195,0.0056,135.171805181739
1-68,-96.11919999999999,99.2383,0.007,138.15621880874562
1-69,-96.11919999999999,99.2383,0.007,138.15621880874562
1-70,-92.84639999999999,99.985,0.0067,136.44579223251992
1-71,-92.84639999999999,99.985,0.0067,136.44579223251992
1-72,-88.3771,101.6017,0.0068,134.66037742149692
1-73,-88.3771,101.6017,0.0068,134.66037742149692
1-74,-81.3733,101.7122,0.0073,130.25738206232305
1-75,-81.3733,101.7122,0.0073,130.25738206232305
1-76,-78.6355,101.1887,0.0069,128.15106268751734
1-77,-78.6355,101.1887,0.0069,128.15106268751734
1-78,-74.80229999999999,97.4859,0.0066,122.87751944151542
1-79,-74.80229999999999,97.4859,0.0066,122.87751944151542
1-80,-71.2718,95.2978,0.0070999999999999995,119.00142923545077
1-81,-71.2718,95.2978,0.0070999999999999995,119.00142923545077
1-82,-71.0954,86.4326,0.0067,111.91581766631559
1-83,-71.0954,86.4326,0.0067,111.91581766631559
1-84,-72.5749,82.7338,0.0059,110.05452181737014
1-85,-72.5749,82.7338,0.0059,110.05452181737014
1-86,-75.4824,78.0837,0.0047,108.60320858726965
1-87,-75.4824,78.0837,0.0047,108.60320858726965
2-0,-92.0,-80.9499,-0.011800000000000001,122.54340582018274
2-1,-92.0,-80.9499,-0.011800000000000001,122.54340582018274
2-2,-89.7494,-82.1507,-0.011600000000000001,121.67042496371089
2-3,-89.7494,-82.1507,-0.011600000000000001,121.67042496371089
2-4,-89.75,-84.8503,-0.0119,123.50965917728864
2-5,-89.75,-84.8503,-0.0119,123.50965917728864
2-6,-91.9996,-86.0501,-0.0125,125.97041759941101
2-7,-91.9996,-86.0501,-0.0125,125.97041759941101
2-8,-94.2493,-84.8501,-0.012,126.81667879462859
2-9,-94.2493,-84.8501,-0.012,126.81667879462859
2-10,-94.2497,-82.1505,-0.011800000000000001,125.02683951992069
2-11,-94.2497,-82.1505,-0.011800000000000001,125.02683951992069
2-12,-86.2872,-82.4934,-0.012100000000000001,119.37605257085693
2-13,-86.2872,-82.4934,-0.012100000000000001,119.37605257085693
2-14,-86.977,-86.4005,-0.012100000000000001,122.59708368982518
2-15,-86.977,-86.4005,-0.012100000000000001,122.59708368982518
2-16,-90.0151,-88.9507,-0.012400000000000001,126.55016893904173
2-17,-90.0151,-88.9507,-0.012400000000000001,126.55016893904173
2-18,-93.98349999999999,-88.9502,-0.0128,129.4026133904953
2-19,-93.98349999999999,-88.9502,-0.0128,129.4026133904953
2-20,-97.0221,-86.4001,-0.012400000000000001,129.91637759890014
2-21,-97.0221,-86.4001,-0.012400000000000001,129.91637759890014
2-22,-97.7113,-82.4938,-0.011800000000000001,127.87777440247386
2-23,-97.7113,-82.4938,-0.011800000000000001,127.87777440247386
2-24,-95.7272,-79.0575,-0.0119,124.15226589188777
2-25,-95.7272,-79.0575,-0.0119,124.15226589188777
2-26,-92.0,-77.7005,-0.0109,120.42162472018886
2-27,-92.0,-77.7005,-0.0109,120.42162472018886
2-28,-88.2716,-79.05669999999999,-0.011200000000000002,118.498258136776
2-29,-88.2716,-79.05669999999999,-0.011200000000000002,118.498258136776
2-30,-82.9194,-79.5938,-0.0114,114.93824383032829
2-31,-82.9194,-79.5938,-0.0114,114.93824383032829
2-32,-81.7217,-84.487,-0.0119,117.54356392372148
2-33,-81.7217,-84.487,-0.0119,117.54356392372148
2-34,-85.1383,-90.91159999999999,-0.0119,124.55299732021706
2-35,-85.1383,-90.91159999999999,-0.0119,124.55299732021706
2-36,-87.7909,-92.7528,-0.012900000000000002,127.71187897235714
2-37,-87.7909,-92.7528,-0.012900000000000002,127.71187897235714
2-38,-92.002,-93.5895,-0.013500000000000002,131.2378090119231
2-39,-92.002,-93.5895,-0.013500000000000002,131.2378090119231
2-40,-95.8993,-91.8741,-0.012700000000000001,132.8063477071032
2-41,-95.8993,-91.8741,-0.012700000000000001,132.8063477071032
2-42,-99.9335,-87.7153,-0.0123,132.96871164428117
2-43,-99.9335,-87.7153,-0.0123,132.96871164428117
2-44,-101.9119,-83.3586,-0.012400000000000001,131.66127583906362
2-45,-101.9119,-83.3586,-0.012400000000000001,131.66127583906362
2-46,-101.0565,-79.0586,-0.0123,128.3069695153385
2-47,-101.0565,-79.0586,-0.0123,128.3069695153385
2-48,-98.092,-76.4563,-0.011300000000000001,124.36883160056622
2-49,-98.092,-76.4563,-0.011300000000000001,124.36883160056622
2-50,-93.6117,-74.6003,-0.011500000000000002,119.70110750105866
2-51,-93.6117,-74.6003,-0.011500000000000002,119.70110750105866
2-52,-88.9508,-74.8151,-0.0108,116.23056400383679
2-53,-88.9508,-74.8151,-0.0108,116.23056400383679
2-54,-80.91839999999999,-74.3878,-0.010400000000000001,109.91511382607943
2-55,-80.91839999999999,-74.3878,-0.010400000000000001,109.91511382607943
2-56,-78.5403,-77.3744,-0.0105,110.25142402459026
2-57,-78.5403,-77.3744,-0.0105,110.25142402459026
2-58,-78.1676,-80.4765,-0.011000000000000001,112.19019895699445
2-59,-78.1676,-80.4765,-0.011000000000000001,112.19019895699445
2-60,-79.7168,-88.3177,-0.012100000000000001,118.9738808963127
2-61,-79.7168,-88.3177,-0.012100000000000001,118.9738808963127
2-62,-78.9939,-91.2234,-0.0119,120.67205535984708
2-63,-78.9939,-91.2234,-0.0119,120.67205535984708
2-64,-85.4168,-95.0782,-0.0125,127.81194716254032
2-65,-85.4168,-95.0782,-0.0125,127.81194716254032
2-66,-90.2887,-96.5034,-0.0134,132.15504363909082
2-67,-90.2887,-96.5034,-0.0134,132.15504363909082
2-68,-95.3073,-98.2494,-0.013600000000000001,136.88106528534178
2-69,-95.3073,-98.2494,-0.013600000000000001,136.88106528534178
2-70,-97.5909,-95.7884,-0.013600000000000001,136.74575436689068
2-71,-97.5909,-95.7884,-0.013600000000000001,136.74575436689068
2-72,-101.2248,-92.7256,-0.0134,137.27526008134168
2-73,-101.2248,-92.7256,-0.0134,137.27526008134168
2-74,-104.8222,-86.71549999999999,-0.0122,136.04143322197837
2-75,-104.8222,-86.71549999999999,-0.0122,136.04143322197837
2-76,-105.7385,-84.08279999999999,-0.0128,135.09458774536455
2-77,-105.7385,-84.08279999999999,-0.0128,135.09458774536455
2-78,-104.4478,-78.9112,-0.0122,130.9057692016666
2-79,-104.4478,-78.9112,-0.0122,130.9057692016666
2-80,-104.3188,-74.7597,-0.0114,128.34104868486153
2-81,-104.3188,-74.7597,-0.0114,128.34104868486153
2-82,-92.7854,-69.6075,-0.0111,115.9928209390995
2-83,-92.7854,-69.6075,-0.0111,115.9928209390995
2-84,-87.3044,-69.79939999999999,-0.010100000000000001,111.77662769881725
2-85,-87.3044,-69.79939999999999,-0.010100000000000001,111.77662769881725
3-0,35.300799999999995,-121.1001,-0.0112,126.14032147037679
3-1,35.300799999999995,-121.1001,-0.0112,126.14032147037679
3-2,35.3011,-118.5496,-0.0111,123.69387746113387
3-3,35.3011,-118.5496,-0.0111,123.69387746113387
3-4,37.5507,-119.7498,-0.0103,125.49928155383998
3-5,37.5507,-119.7498,-0.0103,125.49928155383998
3-6,37.5511,-122.45009999999999,-0.0112,128.07853880030018
3-7,37.5511,-122.45009999999999,-0.0112,128.07853880030018
3-8,33.050799999999995,-122.4498,-0.0114,126.83181344079252
3-9,33.050799999999995,-122.4498,-0.0114,126.83181344079252
3-10,33.050399999999996,-119.75019999999999,-0.0112,124.22736952942374
3-11,33.050399999999996,-119.75019999999999,-0.0112,124.22736952942374
3-12,30.7292,-124.6708,-0.011,128.40207204434046
